NAME,AP,TYPE,DMG,DB,RANGE,AMMO,ROUNDS,DMG TYPE
molerat bite,3,U,1d4,0,1,,,N
knife,3,M,1d8,{MD},1,,,N
switchblade,3,M,1d6,{MD},1,,,N
.22 pistol,5,SG,4,0,12,.22 ball,7,N
brass knuckles,3,U,1d6,{MD},1,,,N
bone saw,4,M,1d10,5+{MD},1,,,N
beretta,5,SG,6,0,17,9mm ball,18,N
louisville slugger,4,M,3d6,{MD}+3,1,,,N
wattz 1600 laser pistol,5,EW,1d12,10,35,,,L
broken saw,3,M,1d12,5+{MD},1,,,N
lizard bite,3,U,1d12,3+{MD},1,,,N
lizard claws,2,U,1d6,{MD},1,,,N
smirnoffs rifle,3,SG,1d12,0,40,9mm ball,20,N
bile,5,TH,1d12,4,15,,,P
rock,3,TH,2d6,{MD},15,,,N
claw,3,U,1d4,{MD},1,,,N
spiked knuckles,4,U,1d10,4+{MD},1,,,N
bite,4,U,1d12,{MD}+2,1,,,P
